PUBLISHERS BY PROFESSOR REACH (split)
=================================================================
Publisher                                                Profs  Books
ΕΚΔΟΣΕΙΣ Α. ΤΖΙΟΛΑ & ΥΙΟΙ Α.Ε.                            3589    758
BROKEN HILL PUBLISHERS LTD                                2332    729
Γ. ΔΑΡΔΑΝΟΣ - Κ. ΔΑΡΔΑΝΟΣ κ ΣΙΑ ΕΕ                        2328    814
ΕΚΔΟΣΕΙΣ ΚΡΙΤΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΕΠΙΣΤΗΜΟΝΙΚΩΝ ΛΟΓΟΤΕ    2017    370
ΕΚΔΟΣΕΙΣ ΚΛΕΙΔΑΡΙΘΜΟΣ ΕΠΕ                                 1883    409
ΙΔΡΥΜΑ ΤΕΧΝΟΛΟΓΙΑΣ & ΕΡΕΥΝΑΣ-ΠΑΝΕΠΙΣΤΗΜΙΑΚΕΣ ΕΚΔΟΣΕΙΣ     1422    312
UNIVERSITY STUDIO PRESS - ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΙΑ ΓΡΑΦΙΚΩΝ ΤΕ    1352    474
Ζήτη Πελαγία & Σια Ι.Κ.Ε.                                 1020    371
ΕΚΔΟΣΕΙΣ Α.ΠΑΠΑΖΗΣΗΣ ΜΟΝΟΠΡΟΣΩΠΗ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚ     919    345
ΠΕΔΙΟ ΕΚΔΟΤΙΚΗ,ΔΙΑΦΗΜΙΣΤΙΚΗ ΚΑΙ ΡΑΔΙΟΤΗΛΕΟΠΤΙΚΩΝ ΠΑΡΑΓ     855    377
ΕΚΔΟΣΕΙΣ ΔΙΣΙΓΜΑ ΙΚΕ                                       834    216
Σ. ΠΑΤΑΚΗΣ ΑΝΩΝΥΜΗ ΕΚΔΟΤΙΚΗ ΕΜΠΟΡΙΚΗ ΚΑΙ ΔΙΑΝΕΜΗΤΙΚΗ Ε     783    300
ΜΑΡΙΑ ΠΑΡΙΚΟΥ & ΣΙΑ ΕΠΕ                                    781    420
Α. ΠΑΠΑΣΩΤΗΡΙΟΥ & ΣΙΑ Ι.Κ.Ε.                               778    151
Εκδόσεις Επίκεντρο Α.Ε.                                    726    300
ΠΑΡΙΣΙΑΝΟΥ ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΕΚΔΟΤΙΚΗ ΕΙΣΑΓΩΓΙΚΗ ΕΜΠ     721    371
ΕΚΔΟΣΕΙΣ ΠΑΠΑΖΗΣΗ ΑΕΒΕ                                     646    399
Σ.ΑΘΑΝΑΣΟΠΟΥΛΟΣ & ΣΙΑ Ι.Κ.Ε                                574    195
UTOPIA ΕΚΔΟΣΕΙΣ Μ. ΕΠΕ.                                    540     93
ΜΕΤΑΙΧΜΙΟ ΕΚΔΟΤΙΚΗ Α.Ε.                                    536    158
Χ. ΓΚΙΟΥΡΔΑ & ΣΙΑ ΕΕ                                       480    126
ΕΚΔΟΣΕΙΣ ΝΕΩΝ ΤΕΧΝΟΛΟΓΙΩΝ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡ     465    104
ΤΣΟΤΡΑΣ ΑΝ ΑΘΑΝΑΣΙΟΣ                                       460    110
ΕΚΔΟΣΕΙΣ ΣΤΑΜΟΥΛΗ ΑΕ                                       455    199
"σοφία" Ανώνυμη Εκδοτική & Εμπορική Εταιρεία               447     82
ΜΟΡΦΩΤΙΚΟ ΙΔΡΥΜΑ ΕΘΝΙΚΗΣ ΤΡΑΠΕΖΗΣ                          421    151
ΨΥΧΟΓΙΟΣ ΑΘΑΝΑΣΙΟΣ & ΣΙΑ Ο.Ε.                              400    224
ΕΚΔΟΣΕΙΣ ΓΡΗΓΟΡΗ ΟΕ                                        395    221
ΕΚΔΟΣΕΙΣ ΤΣΟΤΡΑΣ ΑΘΑΝΑΣΙΟΣ Ε.Ε.                            382    123
Γ. ΔΑΡΔΑΝΟΣ ΚΑΙ ΣΙΑ Ε.Ε.                                   356     68
ΓΡΗΓΟΡΙΟΣ ΧΡΥΣΟΣΤΟΜΟΥ ΦΟΥΝΤΑΣ                              356    117
ΕΚΔΟΣΕΙΣ ΣΑΚΚΟΥΛΑ ΑΕ                                       353    257
ΝΟΜΙΚΗ ΒΙΒΛΙΟΘΗΚΗ ΑΕΕΤΕ                                    352    265
ΕΚΔΟΣΕΙΣ ΑΛΕΞΑΝΔΡΕΙΑ Α.Ε.                                  350    157
* K. (COMPETITOR)                                          345    144
ROSILI ΕΜΠΟΡΙΚΗ - ΕΚΔΟΤΙΚΗ Μ.ΕΠΕ                           335     39
ΚΑΠΟΛΑ ΚΩΝ. ΠΑΓΩΝΑ                                         322    118
Ι. Δουβίτσας & ΣΙΑ Ε.Ε.                                    319    132
ΜΠΕΝΟΥ & ΣΙΑ Ε.Ε.                                          316     86
UNIBOOKS ΙΚΕ                                               310     68
