ΚΑΘΗΓΗΤΕΣ ΜΕ ΤΑ ΠΕΡΙΣΣΟΤΕΡΑ ΜΑΘΗΜΑΤΑ
======================================================================
Καθηγητής                                          Μαθήματα  Εκδότες
----------------------------------------------------------------------
-                                                       917      104
ΠΑΠΑΝΔΡΕΟΥ ΕΛΕΝΑ                                        375        1
Μέλη ΔΕΠ                                                276       17
_                                                       264       35
ΑΝΔΡΙΚΟΣ ΝΙΚΟΛΑΟΣ                                       255       15
                                                        244       51
Διδάσκων                                                171       30
ΕΝΤΕΤΑΛΜΕΝΟΣ ΔΙΔΑΣΚΩΝ                                   154       45
ΑΝΑΜΕΝΕΤΑΙ ΑΝΑΘΕΣΗ                                      114       34
ΤΡΙΚΟΥΠΗΣ ΑΘΑΝΑΣΙΟΣ                                     108       17
EMPTY                                                   106       46
ΠΑΝΑΓΙΩΤΟΠΟΥΛΟΣ                                         100       22
Παπαμιχαλόπουλος Κων/νος                                 98       16
ΣΚΟΥΛΙΟΣ ΜΑΡΚΟΣ                                          97       14
ΕΚΤΑΚΤΟΣ ΔΙΔΑΣΚΩΝ                                        94       37
ΒΕΡΒΕΡΗΣ                                                 91       17
ΑΝΔΡΙΚΟΣ                                                 90       15
ΕΣΠΑ                                                     86       42
ΖΟΥΜΠΟΥΛΗ ΜΑΡΙΑ                                          77       34
ΑΚΑΔΗΜΑΪΚΟΣ ΥΠΟΤΡΟΦΟΣ/ΕΙΔΙΚΟΣ ΕΠΙΣΤΗΜΟΝΑΣ                74       35
ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ                                        73       25
ΚΟΚΚΩΝΗΣ ΓΕΩΡΓΙΟΣ                                        72       13
ΑΝΑΘΕΣΗ                                                  69       30
Μαρία Δροσινού                                           65        8
Εντεταλμένος διδάσκων                                    62       22
ΑΤΖΑΚΑΣ                                                  62        4
ΠΑΝΑΓΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ                                    59       16
ΚΙΡΤΑΣ ΕΜΜΑΝΟΥΗΛ                                         58       12
ΕΝΤΕΤΑΛΜΕΝΟΣ                                             57       22
ΛΑΙΟΣ                                                    55        4
ΦΩΚΑΪΔΗΣ                                                 52       23
ΣΠΥΡΑΚΟΥ                                                 52       19
ΚΑΛΑΡΑΚΗΣ ΑΛΕΞΑΝΔΡΟΣ                                     50       14
Δ. ΓΙΟΥΖΕΠΑΣ                                             49        6
Φωκά Αμαλία                                              49       14
ΣΥΜΒΑΣΙΟΥΧΟΣ                                             48       22
ΒΑΪΟΠΟΥΛΟΣ                                               48        8
ΖΑΡΙΑΣ                                                   47       10
 Τρανός Τριαντάφυλλος                                    47       18
ΚΩΝΣΤΑΝΤΙΝΙΔΗΣ                                           46       13

Σύνολο καθηγητών με 10+ μαθήματα: 40
